num,id,ingredients
90,Slow-Cooker-Southwestern-Casserole-1237780,"['cheddar cheese', 'ground beef', 'onions', 'bell pepper', 'corn', 'kidney beans', 'diced tomatoes', 'tomato sauce', 'water', 'chili powder', 'cumin', 'chopped fresh cilantro', 'instant rice']"
91,Easiest-Dinner-Ever-1945552,"['chicken breast tenderloins', 'cream cheese', 'black beans', 'corn', 'rotelle']"
92,Chicken-Taco-991434,"['whole wheat tortillas', 'ground chicken', 'canned corn', 'black beans', 'romaine lettuce', 'chopped tomatoes']"
93,Southwestern-pulled-brisket-305462,"['beef brisket', 'kosher salt', 'ground black pepper', 'vegetable oil', 'garlic', 'spanish onion', 'chili powder', 'ground coriander', 'ground cumin', 'apple cider vinegar', 'water', 'whole peeled tomatoes', 'chipotle chile', 'bay leaves', 'molasses']"
94,Crockpot-Creamy-White-Chicken-Chili-2373657,"['chicken breasts', 'beans', 'mild green chiles', 'corn', 'low sodium chicken broth', 'cumin', 'garlic powder', 'onion powder', 'chili powder', 'kosher salt', 'seasoning salt', 'pepper', 'cayenne pepper', 'half & half', 'light cream cheese', 'tortilla strips', 'reduced fat shredded cheese', 'green onions', 'chopped cilantro', 'diced tomatoes', 'lime']"
95,Queso-Taco-Pasta-Bake-2090674,"['rotini pasta', 'butter', 'Gold Medal® All-Purpose Flour', 'chili powder', 'salt', 'ground cumin', 'pepper', 'chicken stock', 'shredded cheddar cheese', 'enchilada sauce', 'ground beef', 'finely chopped onion', 'diced tomatoes']"
96,Sweet-Potato-_-Black-Bean-Chili-for-Two-1916952,"['extra-virgin olive oil', 'onions', 'sweet potatoes', 'garlic', 'chili powder', 'ground cumin', 'chipotle chile', 'salt', 'water', 'black beans', 'diced tomatoes', 'lime juice', 'chopped fresh cilantro']"
97,Turkey-burritos-298048,"['vegetable oil', 'red bell pepper, sliced', 'onions', 'turkey', ""Hellmann's® or Best Foods® Mayonnaise"", 'prepared salsa', 'flour tortillas', 'shredded cheddar cheese']"
98,Chicken-and-Cheese-Quesadilla-Pie-861807,"['flour tortillas', 'rotisserie chicken', 'cilantro leaves', 'jalapeno chilies', 'shredded sharp cheddar cheese', 'salt', 'pepper', 'large eggs', 'whole milk', 'all-purpose flour', 'baking powder']"
99,Cheesy-Hawaiian-BBQ-Beef-Taquitos-with-Pineapple-Salsa-1923962,"['flour tortillas', 'fresh pineapple', 'red onion', 'green bell pepper', 'ground ginger', 'adobo sauce', 'cilantro', 'flank steak', 'olive oil', 'garlic cloves', 'salt', 'pepper', 'sweet barbeque sauce', 'chili powder', 'smoked paprika', 'ground cumin', 'chipotle peppers', 'shredded cheddar cheese']"
100,Southwestern-Style-Beef-and-Potato-Bake-793143,"['extra lean ground beef', 'olive oil', 'chopped onion', 'celery', 'jalapeno chilies', 'garlic', 'diced tomatoes', 'corn', 'chili powder', 'salt', 'pepper', 'ground cumin', 'potatoes', 'shredded sharp cheddar cheese']"
101,15-Minute-One-Pot-Taco-Pasta-2352144,"['noodles', 'diced tomatoes and green chilies', 'green chilies', 'onions', 'green bell pepper', 'black beans', 'taco seasoning', 'taco sauce', 'crumbles', 'beef stock', 'fresh cilantro']"
102,Southwestern-Spaghetti-Squash-1197189,"['spaghetti squash', 'olive oil', 'salt', 'pepper', 'garlic', 'onions', 'ground turkey', 'black beans', 'salsa', 'taco seasoning', 'lime juice', 'mozzarella balls', 'tomatoes', 'fresh chives']"
103,Southwestern-Grilled-Chicken-with-Lime-Butter-2115532,"['chili powder', 'ground cinnamon', 'brown sugar', 'unsweetened cocoa powder', 'salt', 'black pepper', 'olive oil', 'balsamic vinegar', 'chicken parts', 'chopped fresh cilantro', 'butter', 'serrano chiles', 'white onion', 'fresh lime juice']"
104,Chicken-Taco-Casserole-1425481,"['unsalted butter', 'garlic', 'all-purpose flour', 'milk', 'chili powder', 'cumin', 'cayenne pepper', 'salsa', 'black beans', 'corn', 'chicken', 'egg noodles', 'shredded cheddar cheese']"
105,Fajita-Chicken-Roll-Ups-2204296,"[""Hellmann's® or Best Foods® Mayonnaise"", 'prepared salsa', 'fajita size flour tortillas', 'oil', 'boneless skinless chicken breast halves', 'red bell pepper', 'red onion']"
106,Skinny-Enchilada-Stuffed-Bell-Peppers-2299117,"['bell pepper', 'ground turkey', 'black beans', 'corn', 'shredded cheddar cheese', 'enchilada sauce', 'cumin', 'salt']"
107,One-Pan-Chicken-Tortilla-Bake-2243332,"['flour tortillas', 'rotisserie chicken', 'salsa verde', 'black beans', 'corn', 'Mexican cheese blend', 'sliced green onions']"
108,Tofu-Scramble-Recipe-Southwestern-Style-2015693,"['small potatoes', 'extra-virgin olive oil', 'sea salt', 'red bell pepper', 'red onion', 'garlic', 'coconut oil', 'cumin seed', 'salt', 'cayenne pepper', 'sweet corn', 'black beans', 'firm tofu', 'freshly ground black pepper', 'lime juice']"
109,Baked-Quinoa-Chile-Rellenos-1467072,"['poblano peppers', 'chopped onion', 'red pepper', 'minced garlic', 'frozen corn', 'cooked quinoa', 'smoked paprika', 'ground cumin', 'cilantro', 'cream cheese', 'shredded pepper jack cheese', 'bread', 'flour', 'corn flour', 'quinoa flour', 'milk', 'unsweetened almond milk', 'lemon juice', 'crumbs', 'quinoa flakes', 'rice crackers', 'sauce', 'crushed tomatoes', 'chipotles in adobo', 'Mexican oregano', 'sea salt', 'ground pepper']"
110,Layered-Chicken-Enchilada-Casserole-Pie-2371654,"['nonfat greek yogurt', 'skim milk', 'cumin', 'chopped green chilies', 'spinach', 'cooked chicken', 'flour tortillas', 'Great Northern Beans', 'low-fat cheese', 'green onions']"
