num,id,ingredients
67,Sausage_-Peppers_-and-Onions-Simply-Recipes-42554,"['sausage links', 'olive oil', 'green bell pepper, sliced', 'red bell pepper', 'bell pepper', 'garlic cloves', 'yellow onion', 'crushed tomatoes', 'dried oregano', 'marsala wine', 'red pepper flakes', 'salt']"
68,Italian-Fettucine-Alfredo-2062979,"['Alfredo sauce', 'fresh parmesan cheese', 'fettucine', 'sweet italian sausage']"
69,Chicken-vodka-cacciatore-298395,"['boneless skinless chicken thighs', 'cremini mushrooms', 'green bell pepper', 'garlic', 'fresh rosemary', 'balsamic vinegar']"
70,Easy-Pizza-Casserole-1181730,"['bisquick', 'water', 'garlic powder', 'italian seasoning', 'pizza sauce', 'pepperoni slices', 'shredded mozzarella cheese']"
71,Spaghetti-sauce-302694,"['ground beef', 'olive oil', 'yellow onion', 'green bell pepper', 'garlic', 'white wine', 'crushed tomatoes', 'tomato paste', 'marinara sauce', 'ground oregano', 'ground thyme', 'bay leaves', 'sugar', 'kosher salt', 'crushed red pepper', 'fresh parsley', 'parmesan cheese', 'grated parmesan cheese', 'spaghetti', 'parsley']"
72,Spicy-Italian-Crescent-Ring-685408,"['Pillsbury™ Refrigerated Crescent Dinner Rolls', 'roasted red peppers', 'provolone cheese', 'spicy salami', 'sliced ham', 'capocollo', 'hot pepper rings']"
73,Fettuccine-alfredo-349298,"['fettuccine pasta', 'butter', 'heavy cream', 'parmigiano reggiano cheese', 'flat leaf parsley']"
74,Grilled-Chicken-Buffalo-Pasta-929729,"['boneless chicken breast', 'penne pasta', 'buffalo sauce', 'blue cheese dressing', 'parsley']"
75,Italian-crescent-casserole-351173,"['ground beef', 'tomato sauce', 'Pillsbury™ Refrigerated Crescent Dinner Rolls', 'shredded Italian cheese', 'dried basil leaves']"
76,Stuffed-green-peppers-with-brown-rice_-italian-sausage_-and-parmesan-309397,"['long grain brown rice', 'green bell pepper', 'onions', 'olive oil', 'sweet italian sausage', 'ground fennel', 'oregano', 'grated parmesan cheese', 'salt', 'ground black pepper', 'mozzarella cheese']"
77,Garlic-butter-pasta-with-spinach-and-parmesan-305618,"['butter', 'garlic', 'thyme', 'baby spinach', 'pasta', 'shredded parmesan cheese']"
78,Spinach-and-Ricotta-Stuffed-Shells-1597834,"['jumbo pasta shells', 'olive oil', 'garlic', 'fresh spinach leaves', 'ricotta cheese', 'mozzarella cheese', 'grated parmesan cheese', 'large eggs', 'fresh basil', 'kosher salt', 'freshly ground black pepper', 'marinara sauce']"
79,Chicken-marsala-351447,"['oil', 'chicken breasts', 'butter', 'mushrooms', 'shallots', 'garlic', 'marsala wine', 'chicken broth', 'lemon juice', 'salt', 'pepper', 'parsley']"
80,Great-Italian-Chefs-1728896,"['minced beef', 'minced pork', 'unsalted butter', 'onions', 'carrots', 'celery', 'red wine', 'tomato paste', 'whole milk', 'salt', 'black pepper']"
